4	31	67	84	10	50	10	97	83	100	63	35	91	66	93	6	32	88	32	43
16	81	61	24	60	49	54	61	21	16	3	7	36	3	10	67	22	3	17	95
81	79	26	8	44	85	26	24	84	95	46	22	51	76	86	33	59	29	54	52
52	46	61	4	96	5	24	31	7	53	49	5	99	30	20	19	73	52	35	14
43	10	55	78	16	38	94	80	91	79	39	31	97	99	53	21	27	27	2	43
60	31	95	74	60	70	54	51	95	8	56	86	56	73	73	30	87	78	25	95
24	58	11	99	61	82	14	85	37	42	56	93	72	18	66	39	67	78	44	70
85	94	14	81	65	74	63	69	58	34	18	13	61	29	36	17	93	15	34	28
91	16	6	19	47	13	51	74	89	45	51	51	85	68	69	17	49	47	48	43
2	66	37	14	65	71	30	87	88	90	61	92	97	70	45	28	87	4	32	5
13	19	94	12	88	6	29	13	69	15	31	14	51	68	86	3	79	74	1	52
66	67	63	12	69	62	69	19	65	44	9	54	74	63	21	48	24	20	63	71
29	92	95	80	90	1	91	6	4	45	42	69	39	31	75	31	71	32	61	84
33	90	73	96	47	74	75	27	18	78	96	70	82	1	27	77	25	80	45	64
24	33	32	46	2	20	60	96	21	60	10	18	69	70	34	4	12	15	65	15
23	87	67	50	19	30	100	74	36	61	49	61	14	6	97	38	44	8	73	18
75	94	45	98	16	43	92	14	7	48	54	54	33	54	55	81	1	49	87	18
100	98	61	40	94	89	93	41	17	97	15	3	25	51	53	13	38	60	64	72
52	95	87	56	27	6	13	49	1	79	8	5	37	67	72	14	54	42	41	26
80	55	29	47	56	77	61	50	82	17	19	11	98	34	77	61	96	89	36	31
75	24	76	21	3	85	15	16	38	99	57	60	37	45	16	39	75	31	69	47
97	5	94	30	42	6	92	33	81	95	84	92	38	84	50	14	91	87	65	53
24	67	38	48	53	85	2	23	80	47	8	46	63	35	90	81	21	3	28	18
49	71	59	95	33	37	73	6	3	63	17	97	96	48	45	49	21	91	21	19
35	90	15	49	71	39	14	36	58	21	95	78	50	30	71	71	50	6	97	81
27	45	68	85	99	44	45	100	99	62	53	52	4	4	69	21	78	28	97	85
35	21	58	73	30	39	76	13	50	11	33	86	89	38	39	3	68	25	23	94
78	13	85	30	2	79	25	40	1	47	80	73	85	71	67	58	88	45	22	20
59	92	43	6	64	28	76	96	61	83	58	87	54	68	22	48	2	35	13	45
6	58	30	79	3	22	2	49	99	54	93	94	53	99	84	75	20	38	83	56
94	25	75	32	95	29	85	6	11	49	47	21	14	15	68	20	68	15	83	72
74	3	44	45	14	78	85	48	70	81	71	34	25	24	27	74	4	95	92	9
54	75	81	19	25	30	19	70	84	54	85	30	66	20	58	19	67	20	39	81
16	49	45	80	51	83	49	47	93	59	86	10	31	13	39	42	85	59	7	26
42	31	96	97	13	46	20	44	57	4	57	70	25	29	29	69	27	96	81	66
57	77	28	63	92	70	77	82	48	45	47	17	41	57	63	43	34	71	28	64
68	49	28	89	8	14	73	81	54	77	78	86	14	99	21	89	18	57	85	44
75	76	31	14	57	34	34	10	84	96	29	9	22	40	63	86	20	100	55	39
80	79	43	59	80	84	16	67	86	70	59	30	94	58	33	84	73	8	9	73
66	82	7	6	68	56	81	63	60	25	48	64	32	24	83	84	37	72	13	57
92	38	46	71	24	93	66	2	51	5	53	45	88	97	97	3	55	51	54	73
98	28	63	56	42	43	96	10	64	45	98	45	96	7	89	24	53	29	1	79
65	4	34	81	22	43	56	65	82	87	29	84	15	22	55	35	79	55	12	8
6	87	57	30	47	48	63	1	2	2	2	88	27	100	36	36	59	36	99	54
34	37	25	47	9	13	98	39	55	8	16	93	72	85	3	66	7	92	3	30
97	57	36	14	20	52	6	41	34	69	90	1	60	83	17	39	80	32	43	11
4	67	14	100	13	40	72	20	9	49	58	30	49	55	9	95	54	27	5	22
97	50	89	11	15	1	72	83	13	45	94	67	14	18	61	95	10	73	44	88
3	6	76	95	92	71	69	74	57	56	26	47	59	81	41	96	73	19	27	16
21	4	90	3	67	3	40	33	13	52	99	85	7	38	84	100	90	82	74	5
65	62	71	84	50	71	47	91	91	57	91	64	82	99	18	95	33	18	80	78
5	3	98	10	85	60	8	53	73	52	67	93	81	20	74	82	68	21	59	69
49	32	8	79	62	63	1	94	73	26	89	30	16	45	80	59	81	61	89	14
73	29	59	84	75	2	89	45	55	6	49	45	24	11	86	49	9	63	93	68
15	76	76	90	3	94	84	82	66	4	26	46	16	57	16	91	46	60	74	2
85	87	61	95	11	30	36	81	28	33	54	66	76	22	80	32	43	19	4	10
48	99	25	30	18	75	3	25	19	29	24	62	50	64	32	54	81	39	2	26
18	93	65	37	64	55	98	92	76	69	52	1	53	64	90	56	98	31	64	1
28	87	61	58	77	94	70	60	2	48	97	40	18	23	47	34	33	27	25	21
36	6	42	81	49	3	9	29	97	96	52	65	32	37	56	5	75	45	26	96
15	45	88	22	51	29	90	78	36	56	18	16	10	69	73	85	41	93	35	91
61	30	96	71	78	15	100	74	49	84	89	4	16	68	54	9	57	26	76	48
19	32	42	100	19	84	36	38	1	98	65	53	26	17	32	46	10	76	74	45
36	13	85	62	51	5	72	73	39	37	66	85	50	73	21	58	7	80	91	58
17	36	4	46	60	14	14	8	66	60	85	77	15	10	1	57	24	53	32	58
